"Date","Price","Open","High","Low","Change %"
"Nov 21, 2017","6.6269","6.6453","6.6516","6.6252","-0.28%"
"Nov 20, 2017","6.6452","6.6361","6.6529","6.6341","0.13%"
"Nov 17, 2017","6.6368","6.6333","6.6483","6.6232","0.06%"
"Nov 16, 2017","6.6330","6.6322","6.6414","6.6296","0.01%"
"Nov 15, 2017","6.6324","6.6363","6.6412","6.6195","-0.07%"
"Nov 14, 2017","6.6368","6.6581","6.6585","6.6367","-0.31%"
"Nov 13, 2017","6.6574","6.6614","6.6641","6.6489","-0.05%"
"Nov 10, 2017","6.6607","6.6475","6.6631","6.6391","0.19%"
"Nov 09, 2017","6.6484","6.6314","6.6562","6.6266","0.25%"
"Nov 08, 2017","6.6320","6.6408","6.6480","6.6285","-0.15%"
"Nov 07, 2017","6.6418","6.6268","6.6460","6.6192","0.26%"
"Nov 06, 2017","6.6249","6.6369","6.6458","6.6228","-0.16%"
"Nov 03, 2017","6.6354","6.6063","6.6391","6.6052","0.43%"
"Nov 02, 2017","6.6070","6.6090","6.6173","6.5861","-0.03%"
"Nov 01, 2017","6.6090","6.6331","6.6419","6.6056","-0.34%"
"Oct 31, 2017","6.6315","6.6361","6.6409","6.6220","-0.07%"
"Oct 30, 2017","6.6364","6.6482","6.6527","6.6361","-0.17%"
"Oct 27, 2017","6.6476","6.6543","6.6662","6.6451","-0.09%"
"Oct 26, 2017","6.6536","6.6372","6.6573","6.6269","0.24%"
"Oct 25, 2017","6.6376","6.6418","6.6524","6.6359","-0.08%"
"Oct 24, 2017","6.6426","6.6364","6.6437","6.6265","0.10%"
"Oct 23, 2017","6.6359","6.6234","6.6442","6.6219","0.19%"
"Oct 20, 2017","6.6235","6.6058","6.6281","6.6041","0.26%"
"Oct 19, 2017","6.6060","6.6205","6.6405","6.6041","-0.22%"
"Oct 18, 2017","6.6208","6.6064","6.6326","6.5969","0.22%"
"Oct 17, 2017","6.6063","6.5821","6.6197","6.5813","0.36%"
"Oct 16, 2017","6.5829","6.5673","6.5867","6.5645","0.23%"
"Oct 13, 2017","6.5678","6.5785","6.5884","6.5609","-0.16%"
"Oct 12, 2017","6.5784","6.5736","6.5896","6.5678","0.07%"
"Oct 11, 2017","6.5739","6.5656","6.5927","6.5572","0.11%"
